단지명,거래구분,전용면적(㎡),시군구,번지,계약년월,건축년도,평균 거래금액(만원)
현진에버빌2,매매,83,서울특별시 마포구 망원동,503,202503,2003,73000
자양현대6,매매,84,서울특별시 광진구 자양동,786,202503,1999,129000
공덕2삼성래미안,매매,84,서울특별시 마포구 공덕동,43,202503,2004,152333
마포현대,매매,84,서울특별시 마포구 공덕동,188-108,202503,1988,107875
공덕1삼성래미안,매매,84,서울특별시 마포구 공덕동,371,202503,1999,153500
공덕SK리더스뷰,매매,97,서울특별시 마포구 공덕동,479,202503,2021,215667
공덕파크자이,매매,84,서울특별시 마포구 공덕동,476,202503,2015,188125
왕십리풍림아이원,매매,114,서울특별시 성동구 하왕십리동,1061,202503,2004,134500
주공1,매매,84,서울특별시 동대문구 휘경동,57,202503,2001,78367
신동아아파트1,매매,43,서울특별시 도봉구 방학동,271-1,202503,1988,26450
상림마을7단지아이파크(719~729동)BL1-13,매매,134,서울특별시 은평구 진관동,11,202503,2008,75000
우물골2단지두산위브(204~208동)BL2-5,매매,59,서울특별시 은평구 진관동,83,202503,2009,69000
휘경미소지움,매매,59,서울특별시 동대문구 휘경동,106,202503,1999,58500
고덕그라시움,매매,59,서울특별시 강동구 고덕동,693,202503,2019,153136
길음뉴타운데시앙,매매,59,서울특별시 성북구 정릉동,1018,202503,1999,51333
삼성사이버빌리지,매매,84,서울특별시 중구 중림동,200,202503,2001,143900
삼익가든,매매,66,서울특별시 강동구 명일동,270,202503,1984,98300
텐즈힐(1단지),매매,148,서울특별시 성동구 하왕십리동,1066,202503,2015,244500
우성아파트,매매,96,서울특별시 송파구 잠실동,101-1,202503,1981,276500
미아1차래미안,매매,59,서울특별시 강북구 미아동,797,202503,2006,68000
이너스내안에,매매,84,서울특별시 강서구 염창동,254-2,202503,2004,79333
미주,매매,48,서울특별시 강서구 화곡동,474-1,202503,1988,20000
진주,매매,63,서울특별시 영등포구 여의도동,54,202503,1977,227000
장미,매매,133,서울특별시 영등포구 여의도동,40,202503,1978,265000
시범,매매,79,서울특별시 영등포구 여의도동,50,202503,1971,229833
