단지명,거래구분,전용면적(㎡),시군구,번지,계약년월,건축년도,평균 거래금액(만원)
2차한양아파트,매매,108,서울특별시 송파구 송파동,151,202506,1984,180000
620-47(롯데캐슬L-65),매매,84,서울특별시 동대문구 전농동,620-47,202506,2023,176000
800-19,매매,49,서울특별시 구로구 구로동,800-19,202506,1996,18000
CJ나인파크,매매,84,서울특별시 용산구 문배동,24-6,202506,2007,138000
CJ나인파크,매매,97,서울특별시 용산구 문배동,24-6,202506,2007,150000
CLOUDAPT,매매,46,서울특별시 관악구 신림동,1484-10,202506,2017,42500
DH팰리스,매매,53,서울특별시 강서구 염창동,263-7,202506,2022,69800
DMCSKVIEW,매매,84,서울특별시 은평구 수색동,418,202506,2023,140075
DMC금호리첸시아,매매,84,서울특별시 서대문구 남가좌동,396,202506,2024,117625
DMC덕원,매매,95,서울특별시 은평구 증산동,220-1,202506,1997,79000
DMC래미안e편한세상,매매,59,서울특별시 서대문구 북가좌동,481,202506,2012,105571
DMC래미안e편한세상,매매,84,서울특별시 서대문구 북가좌동,481,202506,2012,125781
DMC래미안e편한세상,매매,120,서울특별시 서대문구 북가좌동,481,202506,2012,155000
DMC래미안e편한세상,매매,153,서울특별시 서대문구 북가좌동,481,202506,2012,162000
DMC래미안클라시스,매매,59,서울특별시 서대문구 남가좌동,377,202506,2000,81200
DMC래미안클라시스,매매,84,서울특별시 서대문구 남가좌동,377,202506,2000,93857
DMC래미안클라시스,매매,114,서울특별시 서대문구 남가좌동,377,202506,2000,103625
DMC롯데캐슬더퍼스트,매매,59,서울특별시 은평구 수색동,417,202506,2021,92650
DMC롯데캐슬더퍼스트,매매,84,서울특별시 은평구 수색동,417,202506,2021,120175
DMC마포청구아파트,매매,84,서울특별시 마포구 중동,390,202506,1994,97333
DMC상암센트럴파크1단지,매매,113,서울특별시 마포구 상암동,1630,202506,2009,133000
DMC상암센트럴파크2단지,매매,36,서울특별시 마포구 상암동,1618,202506,2009,59500
DMC상암센트럴파크2단지,매매,51,서울특별시 마포구 상암동,1618,202506,2009,84533
DMC상암센트럴파크2단지,매매,74,서울특별시 마포구 상암동,1618,202506,2009,100000
DMC서부인터빌,매매,84,서울특별시 서대문구 북가좌동,467,202506,2008,69000
DMC센트럴아이파크,매매,59,서울특별시 서대문구 남가좌동,388,202506,2018,103125
DMC센트럴아이파크,매매,84,서울특별시 서대문구 남가좌동,388,202506,2018,119780
DMC센트럴자이(1단지),매매,84,서울특별시 은평구 증산동,258,202506,2023,150000
DMC센트럴자이(2단지),매매,59,서울특별시 은평구 증산동,258,202506,2023,128750
DMC센트럴자이(2단지),매매,74,서울특별시 은평구 증산동,258,202506,2023,114000
DMC센트럴자이(3단지),매매,84,서울특별시 은평구 증산동,258,202506,2023,156009
DMC센트레빌,매매,84,서울특별시 서대문구 남가좌동,381,202506,2009,112500
DMC아이파크,매매,59,서울특별시 서대문구 북가좌동,458,202506,2009,90000
DMC아이파크,매매,114,서울특별시 서대문구 북가좌동,458,202506,2009,117000
DMC에코자이,매매,59,서울특별시 서대문구 남가좌동,389,202506,2019,108800
DMC에코자이,매매,72,서울특별시 서대문구 남가좌동,389,202506,2019,122467
DMC에코자이,매매,84,서울특별시 서대문구 남가좌동,389,202506,2019,128900
DMC우방,매매,59,서울특별시 은평구 증산동,244,202506,2000,71420
DMC우방,매매,84,서울특별시 은평구 증산동,244,202506,2000,91750
