단지명,전용면적(㎡),거래구분,번지,평균 거래금액(만원),시군구,계약년월,건축년도
(743-31),44,매매,743-31,17500,서울특별시 구로구 구로동,202506,법인
(747-35),50,매매,747-35,17500,서울특별시 구로구 구로동,202506,개인
(748-32),44,매매,748-32,18500,서울특별시 구로구 구로동,202506,개인
(749-46),38,매매,749-46,19300,서울특별시 구로구 구로동,202506,법인
(791-62),32,매매,791-62,17800,서울특별시 구로구 구로동,202506,개인
(798-18)봉일주택,54,매매,798-18,20000,서울특별시 구로구 구로동,202506,개인
2차한양아파트,108,매매,151,180000,서울특별시 송파구 송파동,202506,개인
620-47(롯데캐슬L-65),84,매매,620-47,176000,서울특별시 동대문구 전농동,202506,개인
800-19,49,매매,800-19,18000,서울특별시 구로구 구로동,202506,법인
CJ나인파크,84,매매,24-6,138000,서울특별시 용산구 문배동,202506,개인
CJ나인파크,97,매매,24-6,150000,서울특별시 용산구 문배동,202506,개인
CLOUDAPT,46,매매,1484-10,42500,서울특별시 관악구 신림동,202506,개인
DH팰리스,53,매매,263-7,69800,서울특별시 강서구 염창동,202506,법인
DMCSKVIEW,84,매매,418,140075,서울특별시 은평구 수색동,202506,개인
DMC금호리첸시아,84,매매,396,117625,서울특별시 서대문구 남가좌동,202506,개인
DMC덕원,95,매매,220-1,79000,서울특별시 은평구 증산동,202506,개인
DMC래미안e편한세상,59,매매,481,105571,서울특별시 서대문구 북가좌동,202506,개인
DMC래미안e편한세상,84,매매,481,125781,서울특별시 서대문구 북가좌동,202506,개인
DMC래미안e편한세상,120,매매,481,155000,서울특별시 서대문구 북가좌동,202506,개인
DMC래미안e편한세상,153,매매,481,162000,서울특별시 서대문구 북가좌동,202506,개인
DMC래미안클라시스,59,매매,377,81200,서울특별시 서대문구 남가좌동,202506,개인
DMC래미안클라시스,84,매매,377,93857,서울특별시 서대문구 남가좌동,202506,개인
DMC래미안클라시스,114,매매,377,103625,서울특별시 서대문구 남가좌동,202506,개인
DMC롯데캐슬더퍼스트,59,매매,417,92650,서울특별시 은평구 수색동,202506,개인
DMC롯데캐슬더퍼스트,84,매매,417,120175,서울특별시 은평구 수색동,202506,개인
DMC마포청구아파트,84,매매,390,97333,서울특별시 마포구 중동,202506,개인
DMC상암센트럴파크1단지,113,매매,1630,133000,서울특별시 마포구 상암동,202506,개인
DMC상암센트럴파크2단지,36,매매,1618,59500,서울특별시 마포구 상암동,202506,개인
DMC상암센트럴파크2단지,51,매매,1618,84533,서울특별시 마포구 상암동,202506,개인
DMC상암센트럴파크2단지,74,매매,1618,100000,서울특별시 마포구 상암동,202506,개인
DMC서부인터빌,84,매매,467,69000,서울특별시 서대문구 북가좌동,202506,개인
DMC센트럴아이파크,59,매매,388,103125,서울특별시 서대문구 남가좌동,202506,개인
DMC센트럴아이파크,84,매매,388,119780,서울특별시 서대문구 남가좌동,202506,개인
DMC센트럴자이(1단지),84,매매,258,150000,서울특별시 은평구 증산동,202506,개인
DMC센트럴자이(2단지),59,매매,258,128750,서울특별시 은평구 증산동,202506,개인
DMC센트럴자이(2단지),74,매매,258,114000,서울특별시 은평구 증산동,202506,개인
DMC센트럴자이(3단지),84,매매,258,156009,서울특별시 은평구 증산동,202506,개인
DMC센트레빌,84,매매,381,112500,서울특별시 서대문구 남가좌동,202506,개인
DMC아이파크,59,매매,458,90000,서울특별시 서대문구 북가좌동,202506,개인
DMC아이파크,114,매매,458,117000,서울특별시 서대문구 북가좌동,202506,개인
DMC에코자이,59,매매,389,108800,서울특별시 서대문구 남가좌동,202506,개인
DMC에코자이,72,매매,389,122467,서울특별시 서대문구 남가좌동,202506,개인
DMC에코자이,84,매매,389,128900,서울특별시 서대문구 남가좌동,202506,개인
DMC우방,59,매매,244,71420,서울특별시 은평구 증산동,202506,개인
DMC우방,84,매매,244,91750,서울특별시 은평구 증산동,202506,개인
DMC이랜드해가든,84,매매,460,63000,서울특별시 서대문구 북가좌동,202506,개인
DMC자이1단지,116,매매,75,110000,서울특별시 은평구 수색동,202506,개인
DMC파크뷰자이1단지,59,매매,385,122929,서울특별시 서대문구 남가좌동,202506,개인
DMC파크뷰자이1단지,84,매매,385,137012,서울특별시 서대문구 남가좌동,202506,개인
DMC파크뷰자이1단지,120,매매,385,165667,서울특별시 서대문구 남가좌동,202506,개인
DMC파크뷰자이1단지,121,매매,385,171167,서울특별시 서대문구 남가좌동,202506,개인
DMC파크뷰자이2단지,84,매매,385,134000,서울특별시 서대문구 남가좌동,202506,개인
DMC파크뷰자이4단지,84,매매,385,127500,서울특별시 서대문구 남가좌동,202506,개인
DMC한양,65,매매,431,61500,서울특별시 서대문구 북가좌동,202506,개인
DMC한양,84,매매,431,83300,서울특별시 서대문구 북가좌동,202506,개인
DMC한양,105,매매,431,88500,서울특별시 서대문구 북가좌동,202506,개인
DMC한양,116,매매,431,95500,서울특별시 서대문구 북가좌동,202506,개인
DMC휴먼빌아파트,84,매매,456,75000,서울특별시 서대문구 북가좌동,202506,개인
DUO302,15,매매,819,16250,서울특별시 중구 황학동,202506,개인
E-아름다운세상,70,매매,846,104500,서울특별시 성동구 성수동2가,202506,개인
FIRSTVIEW,46,매매,274-3,34300,서울특별시 강북구 수유동,202506,개인
G&D용산드림,16,매매,212-41,72000,서울특별시 용산구 이촌동,202506,개인
G&D용산드림,21,매매,212-41,84000,서울특별시 용산구 이촌동,202506,개인
HDX휴팰리스,59,매매,465,62300,서울특별시 서대문구 홍은동,202506,개인
KCC엠파이어리버,145,매매,381-16,163000,서울특별시 마포구 합정동,202506,개인
LG선릉에클라트(B),36,매매,142-3,42000,서울특별시 강남구 삼성동,202506,개인
LG한강자이,134,매매,430,445000,서울특별시 용산구 이촌동,202506,개인
LIG건영캐스빌,55,매매,635-42,50000,서울특별시 도봉구 창동,202506,개인
LIG건영캐스빌,56,매매,635-42,53000,서울특별시 도봉구 창동,202506,개인
LIG건영캐스빌,80,매매,635-42,67000,서울특별시 도봉구 창동,202506,개인
LIG대학마을(건영아파트3차),69,매매,1703-1,60900,서울특별시 관악구 신림동,202506,개인
LIG대학마을(건영아파트3차),84,매매,1703-1,67000,서울특별시 관악구 신림동,202506,개인
LIG서울역리가,84,매매,231,148500,서울특별시 중구 만리동1가,202506,개인
NS파크APT,28,매매,1076-9,26400,서울특별시 강서구 화곡동,202506,개인
NS파크APT,29,매매,1076-9,25000,서울특별시 강서구 화곡동,202506,개인
SK,83,매매,170,120000,서울특별시 송파구 송파동,202506,개인
SKVIEW,84,매매,432-1,103360,서울특별시 구로구 신도림동,202506,개인
SM빌,128,매매,380-1,76000,서울특별시 강동구 길동,202506,개인
SM엘루이,84,매매,791-40,60000,서울특별시 금천구 시흥동,202506,개인
SM이로빌아파트,84,매매,52-3,69500,서울특별시 강동구 천호동,202506,개인
e-편한세상,59,매매,755-4,268667,서울특별시 강남구 역삼동,202506,개인
e-편한세상,84,매매,755-4,320000,서울특별시 강남구 역삼동,202506,개인
e편한세상,84,매매,731,66000,서울특별시 도봉구 쌍문동,202506,개인
e편한세상 문래 에듀플라츠,59,매매,58,109000,서울특별시 영등포구 문래동6가,202506,개인
e편한세상 수색 에코포레,59,매매,415-1,65000,서울특별시 은평구 수색동,202506,개인
e편한세상 수색 에코포레,84,매매,415-1,73667,서울특별시 은평구 수색동,202506,개인
e편한세상 수색 에코포레,114,매매,415-1,77000,서울특별시 은평구 수색동,202506,개인
e편한세상광진그랜드파크,84,매매,680,178429,서울특별시 광진구 구의동,202506,개인
e편한세상광진그랜드파크,115,매매,680,209125,서울특별시 광진구 구의동,202506,개인
e편한세상독산더타워,59,매매,1007-13,73250,서울특별시 금천구 독산동,202506,개인
e편한세상독산더타워,76,매매,1007-13,82000,서울특별시 금천구 독산동,202506,개인
e편한세상독산더타워,84,매매,1007-13,74100,서울특별시 금천구 독산동,202506,개인
e편한세상백련산,59,매매,771,77000,서울특별시 은평구 응암동,202506,개인
e편한세상백련산,84,매매,771,89300,서울특별시 은평구 응암동,202506,개인
e편한세상상도노빌리티,59,매매,903,159833,서울특별시 동작구 상도동,202506,개인
e편한세상상도노빌리티,84,매매,903,179333,서울특별시 동작구 상도동,202506,개인
e편한세상서울대입구1단지,59,매매,1730,116000,서울특별시 관악구 봉천동,202506,개인
e편한세상서울대입구1단지,84,매매,1730,128540,서울특별시 관악구 봉천동,202506,개인
e편한세상서울대입구2단지,59,매매,1730-1,106767,서울특별시 관악구 봉천동,202506,개인
e편한세상서울대입구2단지,84,매매,1730-1,124100,서울특별시 관악구 봉천동,202506,개인
e편한세상서울대입구2차,59,매매,1733,106000,서울특별시 관악구 봉천동,202506,개인
e편한세상서울대입구2차,84,매매,1733,123167,서울특별시 관악구 봉천동,202506,개인
e편한세상서울대입구2차,116,매매,1733,130000,서울특별시 관악구 봉천동,202506,개인
e편한세상송파파크센트럴,59,매매,696,141667,서울특별시 송파구 거여동,202506,개인
e편한세상송파파크센트럴,84,매매,696,158567,서울특별시 송파구 거여동,202506,개인
e편한세상송파파크센트럴,113,매매,696,179333,서울특별시 송파구 거여동,202506,개인
e편한세상신촌1단지,59,매매,1013,155250,서울특별시 서대문구 북아현동,202506,개인
e편한세상신촌1단지,84,매매,1013,178444,서울특별시 서대문구 북아현동,202506,개인
e편한세상신촌2단지,59,매매,1013,164333,서울특별시 서대문구 북아현동,202506,개인
e편한세상신촌2단지,84,매매,1013,188200,서울특별시 서대문구 북아현동,202506,개인
e편한세상신촌3단지,59,매매,1013,162833,서울특별시 서대문구 북아현동,202506,개인
e편한세상신촌4단지,84,매매,1013,200750,서울특별시 서대문구 북아현동,202506,개인
e편한세상염창,59,매매,309,125000,서울특별시 강서구 염창동,202506,개인
e편한세상염창,74,매매,309,138000,서울특별시 강서구 염창동,202506,개인
e편한세상염창,84,매매,309,146000,서울특별시 강서구 염창동,202506,개인
e편한세상영등포아델포레,59,매매,1127,105940,서울특별시 영등포구 대림동,202506,개인
e편한세상영등포아델포레,84,매매,1127,125000,서울특별시 영등포구 대림동,202506,개인
e편한세상홍제가든플라츠,39,매매,469,79500,서울특별시 서대문구 홍은동,202506,개인
e편한세상홍제가든플라츠,59,매매,469,97660,서울특별시 서대문구 홍은동,202506,개인
kcc웰츠,118,매매,171,184500,서울특별시 마포구 신공덕동,202506,개인
가락(1차)쌍용아파트,59,매매,140,140000,서울특별시 송파구 가락동,202506,개인
가락(1차)쌍용아파트,84,매매,140,162000,서울특별시 송파구 가락동,202506,개인
"가락3차쌍용스윗닷홈101동,102동",84,매매,53,132750,서울특별시 송파구 가락동,202506,개인
가락금호아파트,59,매매,95-1,131933,서울특별시 송파구 가락동,202506,개인
가락미륭아파트,60,매매,138,124500,서울특별시 송파구 가락동,202506,개인
가락미륭아파트,83,매매,138,139000,서울특별시 송파구 가락동,202506,개인
가락삼익맨숀,84,매매,166,199167,서울특별시 송파구 송파동,202506,개인
가락삼익맨숀,108,매매,166,208500,서울특별시 송파구 송파동,202506,개인
가락삼익맨숀,127,매매,166,242000,서울특별시 송파구 송파동,202506,개인
가락스타클래스,84,매매,8,104000,서울특별시 송파구 가락동,202506,개인
가락쌍용(2차),59,매매,21-6,119333,서울특별시 송파구 가락동,202506,개인
가람,75,매매,735,254000,서울특별시 강남구 일원동,202506,개인
가양2단지(성지),34,매매,1461,53333,서울특별시 강서구 가양동,202506,개인
가양2단지(성지),39,매매,1461,58500,서울특별시 강서구 가양동,202506,개인
가양2단지(성지),49,매매,1461,74417,서울특별시 강서구 가양동,202506,개인
가양6단지,39,매매,1485,59660,서울특별시 강서구 가양동,202506,개인
가양6단지,49,매매,1485,81717,서울특별시 강서구 가양동,202506,개인
가양6단지,58,매매,1485,85757,서울특별시 강서구 가양동,202506,개인
가양강나루현대,59,매매,448-1,90000,서울특별시 강서구 가양동,202506,개인
가양강나루현대,84,매매,448-1,100333,서울특별시 강서구 가양동,202506,개인
