단지명,거래구분,전용면적(㎡),시군구,번지,계약년월,건축년도,평균 보증금(만원),평균 월세금(만원)
갈현동현대,전세,111,서울특별시 은평구 갈현동,537,202504,1997,50000,0
천호역효성해링턴타워,월세,16,서울특별시 강동구 성내동,609,202504,2023,5990,42
우디안4단지,월세,31,서울특별시 중랑구 신내동,831,202504,2018,7802,12
삼익,전세,84,서울특별시 금천구 시흥동,5-13,202504,1999,32000,0
마포자이더센트리지(102동~112동),전세,59,서울특별시 마포구 염리동,533,202504,2022,84000,0
이지리움S,월세,12,서울특별시 영등포구 영등포동2가,28-117,202504,2013,3000,45
삼환,전세,84,서울특별시 영등포구 영등포동8가,76-1,202504,1999,72000,0
삼환,월세,59,서울특별시 영등포구 영등포동8가,76-1,202504,1999,48000,30
신내11대명,월세,49,서울특별시 중랑구 신내동,661,202504,1996,1000,85
금호한신,전세,84,서울특별시 성동구 금호동3가,1662,202504,2005,62850,0
세곡푸르지오,전세,84,서울특별시 강남구 세곡동,533,202504,2012,76500,0
대우트럼프월드Ⅰ,전세,178,서울특별시 영등포구 여의도동,55-1,202504,2002,155000,0
가락삼익맨숀,전세,108,서울특별시 송파구 송파동,166,202504,1984,42500,0
힐스테이트천호역젠트리스,전세,84,서울특별시 강동구 성내동,610,202504,2024,90000,0
대우미래사랑,월세,34,서울특별시 마포구 서교동,487,202504,2005,1000,100
브라운스톤당산,전세,84,서울특별시 영등포구 당산동4가,98,202504,2015,79000,0
중앙하이츠빌1단지,전세,84,서울특별시 성북구 정릉동,494,202504,2004,42000,0
당산현대3차,전세,84,서울특별시 영등포구 당산동4가,88,202504,1988,60000,0
유원제일2차,전세,84,서울특별시 영등포구 당산동5가,7-2,202504,1984,45000,0
당산효성1차,전세,59,서울특별시 영등포구 당산동5가,12,202504,1999,62000,0
조인타운,월세,18,서울특별시 영등포구 당산동,121-205,202504,2013,14600,3
리버뷰신안인스빌1단지,전세,84,서울특별시 영등포구 문래동4가,67,202504,2008,58000,0
서교동효성해링턴타워,월세,37,서울특별시 마포구 서교동,494,202504,2020,12538,77
위례24단지(꿈에그린),전세,84,서울특별시 송파구 장지동,901,202504,2013,75500,0
문래롯데캐슬,월세,51,서울특별시 영등포구 문래동6가,57,202504,2020,25000,40
주공2,전세,58,서울특별시 노원구 월계동,556,202504,1992,31500,0
현대3,전세,84,서울특별시 광진구 광장동,484,202504,1990,67000,0
역삼센트럴2차아이파크,월세,23,서울특별시 강남구 역삼동,712-5,202504,2022,3000,170
미성,월세,50,서울특별시 노원구 월계동,13,202504,1986,3333,78
미륭,전세,51,서울특별시 노원구 월계동,13,202504,1986,23000,0
미륭,월세,51,서울특별시 노원구 월계동,13,202504,1986,3800,82
래미안그레이튼,전세,84,서울특별시 강남구 역삼동,763-16,202504,2009,135000,0
레이크팰리스,전세,84,서울특별시 송파구 잠실동,44,202504,2006,111333,0
대림e-편한세상,월세,114,서울특별시 성동구 행당동,347,202504,2000,66500,40
강남브리즈힐,전세,84,서울특별시 강남구 자곡동,618,202504,2014,75000,0
밀라텔쉐르빌,월세,66,서울특별시 서초구 서초동,1316-31,202504,2001,2000,270
서초푸르지오써밋,월세,120,서울특별시 서초구 서초동,1311-10,202504,2017,114000,300
트리지움,전세,84,서울특별시 송파구 잠실동,35,202504,2007,108182,0
리센츠,전세,84,서울특별시 송파구 잠실동,22,202504,2008,121214,0
주공아파트 5단지,전세,76,서울특별시 송파구 잠실동,27,202504,1978,51000,0
서초푸르지오써밋,전세,84,서울특별시 서초구 서초동,1311-10,202504,2017,145000,0
가좌행복주택,월세,16,서울특별시 마포구 성산동,134-2,202504,2016,3755,16
성산시영(선경),전세,50,서울특별시 마포구 성산동,446,202504,1986,32333,0
성산시영(유원),전세,59,서울특별시 마포구 성산동,446,202504,1986,36600,0
고덕숲아이파크,전세,84,서울특별시 강동구 상일동,515,202504,2018,74000,0
중앙하이츠,전세,59,서울특별시 강동구 상일동,476,202504,1992,38000,0
갤러리아팰리스,월세,176,서울특별시 송파구 잠실동,40,202504,2005,100000,350
벽산블루밍,전세,59,서울특별시 관악구 봉천동,1718,202504,2005,42429,0
힐스테이트세운센트럴1단지,월세,59,서울특별시 중구 입정동,277,202504,2023,5000,390
동아,전세,84,서울특별시 강동구 상일동,473,202504,1997,43000,0
벽산블루밍,월세,84,서울특별시 관악구 봉천동,1718,202504,2005,7500,160
벽산블루밍3차,전세,59,서울특별시 관악구 봉천동,1720,202504,2004,49000,0
관악드림(동아),전세,60,서울특별시 관악구 봉천동,1712,202504,2003,40875,0
더샵스타리버,전세,171,서울특별시 송파구 신천동,11-8,202504,2006,140000,0
파크리오,전세,84,서울특별시 송파구 신천동,17,202504,2008,108111,0
신답경남,전세,82,서울특별시 동대문구 답십리동,645-8,202504,1991,47500,0
상암월드컵파크7단지,전세,84,서울특별시 마포구 상암동,1660,202504,2005,65000,0
래미안위브,전세,84,서울특별시 동대문구 답십리동,1003,202504,2014,68333,0
신동아1,전세,84,서울특별시 용산구 보광동,448,202504,1992,50000,0
리버빌(삼성),전세,84,서울특별시 용산구 보광동,151,202504,2000,65000,0
극동,전세,84,서울특별시 도봉구 도봉동,81-1,202504,1991,29750,0
브리앙뜨3차,전세,137,서울특별시 서초구 반포동,101-10,202504,2003,130000,0
까치마을,월세,39,서울특별시 강남구 수서동,746,202504,1993,17167,65
신동아,전세,166,서울특별시 용산구 서빙고동,241-21,202504,1985,110000,0
