단지명,거래구분,전용면적(㎡),시군구,번지,계약년월,건축년도,평균 보증금(만원),평균 월세금(만원)
래미안밤섬리베뉴Ⅱ,전세,84,서울특별시 마포구 상수동,398,202503,2014,96000,0
현대1차,전세,70,서울특별시 송파구 거여동,362,202503,1992,50000,0
신동아아파트1,전세,43,서울특별시 도봉구 방학동,271-1,202503,1988,18000,0
우성아파트2,전세,84,서울특별시 도봉구 방학동,508,202503,1993,32400,0
동아,전세,84,서울특별시 서초구 잠원동,157,202503,2002,106667,0
래미안신반포리오센트,전세,84,서울특별시 서초구 잠원동,161,202503,2019,155000,0
e편한세상신촌3단지,전세,59,서울특별시 서대문구 북아현동,1013,202503,2018,78333,0
두산,전세,59,서울특별시 서대문구 북아현동,1009,202503,1999,47000,0
태영으뜸(데시앙),전세,52,서울특별시 서대문구 홍제동,373,202503,1998,30000,0
세곡푸르지오,전세,84,서울특별시 강남구 세곡동,533,202503,2012,77500,0
홍제삼성래미안,전세,60,서울특별시 서대문구 홍제동,461,202503,2001,42200,0
삼익그린2차,월세,54,서울특별시 강동구 명일동,15,202503,1984,10000,95
현대(고덕),전세,131,서울특별시 강동구 명일동,56,202503,1986,64000,0
구의현대2단지,전세,84,서울특별시 광진구 구의동,611,202503,1996,71111,0
올림픽파크포레온,전세,59,서울특별시 강동구 둔촌동,170-1,202503,2024,87667,0
e편한세상광진그랜드파크,월세,84,서울특별시 광진구 구의동,680,202503,2021,50000,198
더샵둔촌포레,월세,95,서울특별시 강동구 둔촌동,30-4,202503,1984,50000,32
"현대14차(203,204,205,206동)",월세,84,서울특별시 강남구 압구정동,447,202503,1987,100000,5
천호역효성해링턴타워,월세,16,서울특별시 강동구 성내동,609,202503,2023,5445,40
비스타동원,월세,28,서울특별시 영등포구 신길동,4975,202503,2024,22678,18
우공팰리스,전세,84,서울특별시 서대문구 북가좌동,384-1,202503,2007,32000,0
월드컵현대,전세,84,서울특별시 서대문구 북가좌동,371-1,202503,1998,50000,0
엘루크방배서리풀,전세,48,서울특별시 서초구 방배동,3284,202503,2024,70000,0
래미안솔베뉴,전세,59,서울특별시 강동구 명일동,359,202503,2019,68286,0
동승,월세,53,서울특별시 송파구 삼전동,164-5,202503,1993,18000,60
중앙하이츠빌,전세,59,서울특별시 동대문구 이문동,84,202503,2002,40000,0
삼익세라믹,전세,58,서울특별시 도봉구 쌍문동,56,202503,1988,25000,0
관악산대창센시티2차,전세,84,서울특별시 관악구 남현동,1139,202503,2008,53000,0
주공1,월세,39,서울특별시 관악구 신림동,1704-1,202503,1995,4027,10
LIG대학마을(건영아파트3차),전세,69,서울특별시 관악구 신림동,1703-1,202503,1996,31100,0
마포래미안푸르지오4단지,전세,59,서울특별시 마포구 아현동,777,202503,2014,76812,0
공덕자이,월세,59,서울특별시 마포구 아현동,800,202503,2015,7500,255
더클래시,전세,59,서울특별시 마포구 아현동,804,202503,2022,79739,0
리마크빌군자,월세,32,서울특별시 광진구 중곡동,637-5,202503,2022,8500,80
더클래시,월세,43,서울특별시 마포구 아현동,804,202503,2022,16073,132
센터스퀘어서울대점,월세,22,서울특별시 관악구 신림동,1747,202503,2024,9045,56
로사이신림,월세,20,서울특별시 관악구 신림동,1423-3,202503,2022,1000,111
로사이신림,월세,17,서울특별시 관악구 신림동,1423-3,202503,2022,1000,107
힐스테이트뉴포레,월세,59,서울특별시 관악구 신림동,1746,202503,2022,31250,125
관악산휴먼시아2단지,월세,84,서울특별시 관악구 신림동,1735,202503,2008,12200,104
서울숲아이파크리버포레,전세,59,서울특별시 성동구 성수동1가,721,202503,2024,86000,0
신동아리버파크,전세,114,서울특별시 동작구 노량진동,325,202503,2001,62035,0
천왕이펜하우스8단지,월세,45,서울특별시 구로구 천왕동,276-2,202503,2018,8230,30
래미안공덕4차,전세,59,서울특별시 마포구 공덕동,464,202503,2005,66667,0
공덕2삼성래미안,월세,84,서울특별시 마포구 공덕동,43,202503,2004,40000,130
펜트라우스,월세,115,서울특별시 마포구 신공덕동,172,202503,2011,63000,225
래미안마포리버웰,월세,59,서울특별시 마포구 용강동,502,202503,2015,27600,131
신동아리버파크,전세,84,서울특별시 동작구 노량진동,325,202503,2001,62000,0
한강타운,전세,84,서울특별시 강서구 가양동,1460,202503,1993,59250,0
가양2단지(성지),월세,39,서울특별시 강서구 가양동,1461,202503,1992,5167,81
래미안라그란데,전세,59,서울특별시 동대문구 이문동,257-42,202503,2025,48736,0
래미안라그란데,전세,84,서울특별시 동대문구 이문동,257-42,202503,2025,59369,0
용산원효루미니,월세,17,서울특별시 용산구 원효로1가,134,202503,2022,3715,12
세방리버하이빌,월세,84,서울특별시 용산구 신창동,102,202503,2005,20000,175
대흥동태영아파트,전세,59,서울특별시 마포구 대흥동,660,202503,1999,57667,0
고덕그라시움,전세,84,서울특별시 강동구 고덕동,693,202503,2019,85938,0
고덕센트럴푸르지오,전세,59,서울특별시 강동구 고덕동,210-1,202503,2020,64500,0
신촌포스빌,전세,32,서울특별시 마포구 노고산동,1-3,202503,2004,25000,0
관악푸르지오,전세,59,서울특별시 관악구 봉천동,1717,202503,2004,47833,0
벽산블루밍,월세,59,서울특별시 관악구 봉천동,1718,202503,2005,7667,136
관악드림(동아),월세,84,서울특별시 관악구 봉천동,1712,202503,2003,10000,170
고척아이파크(주상복합),월세,64,서울특별시 구로구 고척동,100-7,202503,2022,20233,53
두산,전세,59,서울특별시 성동구 금호동3가,1331,202503,1994,50000,0
두산,전세,79,서울특별시 성동구 금호동3가,1331,202503,1994,55000,0
상수크리원,월세,16,서울특별시 마포구 상수동,355-2,202503,2021,6100,59
서교동효성해링턴타워,월세,37,서울특별시 마포구 서교동,494,202503,2020,9960,46
마포한강제이스카이,월세,49,서울특별시 마포구 망원동,522,202503,2019,5000,120
두영이지안,월세,84,서울특별시 마포구 망원동,510,202503,2004,10000,190
경희궁자이(2단지),월세,59,서울특별시 종로구 홍파동,199,202503,2017,40000,210
대림(2차),월세,59,서울특별시 성동구 응봉동,97,202503,1989,12000,125
성산시영(선경),월세,50,서울특별시 마포구 성산동,446,202503,1986,5625,96
서울숲삼부아파트,전세,84,서울특별시 성동구 행당동,147,202503,1998,71000,0
태영,전세,82,서울특별시 강서구 화곡동,918-18,202503,2003,26000,0
