단지명,거래구분,전용면적(㎡),시군구,번지,계약년월,건축년도,평균 보증금(만원),평균 월세금(만원)
2차한양아파트,전세,64,서울특별시 송파구 송파동,151,202505,1984,46000,0
620-47(롯데캐슬L-65),전세,84,서울특별시 동대문구 전농동,620-47,202505,2023,69750,0
AndPra레지던스,전세,15,서울특별시 강서구 화곡동,918-25,202505,2013,12400,0
CNHHome,전세,48,서울특별시 동대문구 전농동,103-106,202505,2013,16000,0
DK밸리뷰시티,전세,25,서울특별시 서초구 서초동,1584-6,202505,2019,35085,0
DMC금호리첸시아,전세,84,서울특별시 서대문구 남가좌동,396,202505,2024,77000,0
DMC래미안e편한세상,전세,84,서울특별시 서대문구 북가좌동,481,202505,2012,73000,0
DMC래미안e편한세상,전세,120,서울특별시 서대문구 북가좌동,481,202505,2012,85000,0
DMC래미안e편한세상,전세,153,서울특별시 서대문구 북가좌동,481,202505,2012,121000,0
DMC롯데캐슬더퍼스트,전세,84,서울특별시 은평구 수색동,417,202505,2021,65000,0
DMC마포청구아파트,전세,84,서울특별시 마포구 중동,390,202505,1994,47000,0
DMC문영퀸즈파크아파트,전세,84,서울특별시 은평구 증산동,254,202505,2004,41500,0
DMC상암센트럴파크1단지,전세,84,서울특별시 마포구 상암동,1630,202505,2009,58500,0
DMC상암센트럴파크2단지,전세,51,서울특별시 마포구 상암동,1618,202505,2009,47000,0
DMC상암센트럴파크2단지,전세,59,서울특별시 마포구 상암동,1618,202505,2009,50000,0
DMC센트럴아이파크,전세,59,서울특별시 서대문구 남가좌동,388,202505,2018,58000,0
DMC센트럴아이파크,전세,84,서울특별시 서대문구 남가좌동,388,202505,2018,70500,0
DMC센트럴자이(2단지),전세,59,서울특별시 은평구 증산동,258,202505,2023,67000,0
DMC센트럴자이(3단지),전세,84,서울특별시 은평구 증산동,258,202505,2023,82000,0
DMC아이파크,전세,84,서울특별시 서대문구 북가좌동,458,202505,2009,60000,0
DMC아트포레자이,전세,59,서울특별시 은평구 수색동,189,202505,2023,51667,0
DMC아트포레자이,전세,73,서울특별시 은평구 수색동,189,202505,2023,59500,0
DMC아트포레자이,전세,84,서울특별시 은평구 수색동,189,202505,2023,63500,0
DMC에코자이,전세,59,서울특별시 서대문구 남가좌동,389,202505,2019,65000,0
DMC에코자이,전세,72,서울특별시 서대문구 남가좌동,389,202505,2019,73000,0
DMC에코자이,전세,84,서울특별시 서대문구 남가좌동,389,202505,2019,71500,0
DMC우방,전세,59,서울특별시 은평구 증산동,244,202505,2000,43000,0
DMC자이1단지,전세,134,서울특별시 은평구 수색동,75,202505,2009,65000,0
DMC자이2단지,전세,135,서울특별시 은평구 증산동,223-28,202505,2009,65000,0
DMC파크뷰자이1단지,전세,59,서울특별시 서대문구 남가좌동,385,202505,2015,59083,0
DMC파크뷰자이1단지,전세,84,서울특별시 서대문구 남가좌동,385,202505,2015,76700,0
DMC파크뷰자이1단지,전세,120,서울특별시 서대문구 남가좌동,385,202505,2015,118000,0
DMC파크뷰자이2단지,전세,84,서울특별시 서대문구 남가좌동,385,202505,2015,69333,0
DMC한양,전세,84,서울특별시 서대문구 북가좌동,431,202505,1987,45000,0
DMC한양,전세,116,서울특별시 서대문구 북가좌동,431,202505,1987,42000,0
EGSoulLeader,전세,17,서울특별시 중랑구 망우동,506-8,202505,2012,11000,0
G밸리페트라힐스,전세,13,서울특별시 금천구 가산동,139-15,202505,2020,15400,0
KNP이스트빌,전세,84,서울특별시 강동구 둔촌동,62,202505,2004,54000,0
LG한강자이,전세,169,서울특별시 용산구 이촌동,430,202505,2003,210000,0
LIG5차,전세,84,서울특별시 관악구 신림동,233-11,202505,1995,48000,0
LIG대학마을(건영아파트3차),전세,58,서울특별시 관악구 신림동,1703-1,202505,1996,37000,0
LIG대학마을(건영아파트3차),전세,69,서울특별시 관악구 신림동,1703-1,202505,1996,33000,0
LIG서울역리가,전세,84,서울특별시 중구 만리동1가,231,202505,2012,80000,0
M노블레스,전세,44,서울특별시 강서구 화곡동,29-57,202505,2021,25326,0
SKVIEW,전세,84,서울특별시 구로구 신도림동,432-1,202505,2006,66500,0
SM드림빌,전세,52,서울특별시 강남구 삼성동,29-11,202505,2003,41000,0
SPACE(920-5),전세,19,서울특별시 강서구 화곡동,920-5,202505,2014,13000,0
e-편한세상,전세,59,서울특별시 강남구 역삼동,755-4,202505,2005,114000,0
e-편한세상,전세,84,서울특별시 강남구 역삼동,755-4,202505,2005,140000,0
e편한세상,전세,84,서울특별시 도봉구 쌍문동,731,202505,2007,47000,0
e편한세상 문래 에듀플라츠,전세,59,서울특별시 영등포구 문래동6가,58,202505,2020,69000,0
e편한세상 수색 에코포레,전세,59,서울특별시 은평구 수색동,415-1,202505,2003,42000,0
