단지명,거래구분,전용면적(㎡),시군구,번지,계약년월,건축년도,평균 보증금(만원),평균 월세금(만원)
(683-30),전세,20,서울특별시 노원구 공릉동,683-30,202506,202508~202708,15000,0
(749-46),전세,38,서울특별시 구로구 구로동,749-46,202506,202506~202706,14500,0
(793-54),전세,34,서울특별시 구로구 구로동,793-54,202506,202506~202706,9100,0
(796-13),전세,44,서울특별시 구로구 구로동,796-13,202506,202508~202708,12000,0
(797-57),전세,54,서울특별시 구로구 구로동,797-57,202506,202508~202708,16000,0
(807-1),전세,35,서울특별시 구로구 구로동,807-1,202506,202508~202708,9500,0
2차한양아파트,전세,64,서울특별시 송파구 송파동,151,202506,202509~202709,41000,0
620-47(롯데캐슬L-65),전세,84,서울특별시 동대문구 전농동,620-47,202506,202508~202708,83800,0
CJ나인파크,전세,84,서울특별시 용산구 문배동,24-6,202506,202507~202707,70000,0
CJ빌리지,전세,120,서울특별시 서초구 잠원동,63,202506,202508~202708,90000,0
DK밸리뷰시티,전세,26,서울특별시 서초구 서초동,1584-6,202506,202509~202709,35700,0
DMCSKVIEW,전세,59,서울특별시 은평구 수색동,418,202506,202507~202707,63000,0
DMCSKVIEW,전세,84,서울특별시 은평구 수색동,418,202506,202508~202708,70000,0
DMC금호리첸시아,전세,84,서울특별시 서대문구 남가좌동,396,202506,202507~202707,76500,0
DMC덕원,전세,84,서울특별시 은평구 증산동,220-1,202506,202508~202708,54000,0
DMC두산위브,전세,84,서울특별시 서대문구 북가좌동,459,202506,202507~202707,54000,0
DMC래미안e편한세상,전세,59,서울특별시 서대문구 북가좌동,481,202506,202508~202708,64000,0
DMC래미안e편한세상,전세,84,서울특별시 서대문구 북가좌동,481,202506,202507~202707,73500,0
DMC래미안e편한세상,전세,153,서울특별시 서대문구 북가좌동,481,202506,202507~202602,100000,0
DMC롯데캐슬더퍼스트,전세,59,서울특별시 은평구 수색동,417,202506,202508~202708,58000,0
DMC롯데캐슬더퍼스트,전세,84,서울특별시 은평구 수색동,417,202506,202508~202708,65000,0
DMC롯데캐슬더퍼스트,전세,99,서울특별시 은평구 수색동,417,202506,202509~202709,80000,0
DMC마포청구아파트,전세,84,서울특별시 마포구 중동,390,202506,202509~202709,50000,0
DMC센트럴아이파크,전세,59,서울특별시 서대문구 남가좌동,388,202506,202509~202709,60000,0
