단지명,거래구분,전용면적(㎡),시군구,번지,계약년월,건축년도,평균 거래금액(만원)
e편한세상서울대입구2단지,매매,59,서울특별시 관악구 봉천동,1730-1,202505,2019,107500
e편한세상서울대입구2단지,매매,84,서울특별시 관악구 봉천동,1730-1,202505,2019,121875
e편한세상서울대입구2차,매매,84,서울특별시 관악구 봉천동,1733,202505,2020,117000
e편한세상송파파크센트럴,매매,59,서울특별시 송파구 거여동,696,202505,2021,139500
e편한세상송파파크센트럴,매매,84,서울특별시 송파구 거여동,696,202505,2021,147000
e편한세상송파파크센트럴,매매,113,서울특별시 송파구 거여동,696,202505,2021,176000
e편한세상송파파크센트럴,매매,140,서울특별시 송파구 거여동,696,202505,2021,275000
e편한세상신촌1단지,매매,84,서울특별시 서대문구 북아현동,1013,202505,2018,173733
e편한세상신촌2단지,매매,84,서울특별시 서대문구 북아현동,1013,202505,2018,176875
e편한세상신촌3단지,매매,59,서울특별시 서대문구 북아현동,1013,202505,2018,156000
e편한세상신촌3단지,매매,84,서울특별시 서대문구 북아현동,1013,202505,2018,178700
e편한세상신촌4단지,매매,84,서울특별시 서대문구 북아현동,1013,202505,2018,194000
e편한세상영등포아델포레,매매,59,서울특별시 영등포구 대림동,1127,202505,2020,103045
e편한세상영등포아델포레,매매,84,서울특별시 영등포구 대림동,1127,202505,2020,120671
e편한세상홍제가든플라츠,매매,59,서울특별시 서대문구 홍은동,469,202505,2023,95120
e편한세상홍제가든플라츠,매매,84,서울특별시 서대문구 홍은동,469,202505,2023,118500
kcc웰츠,매매,107,서울특별시 마포구 신공덕동,171,202505,2011,182000
가락(1차)쌍용아파트,매매,59,서울특별시 송파구 가락동,140,202505,1997,133875
가락(1차)쌍용아파트,매매,84,서울특별시 송파구 가락동,140,202505,1997,150000
가락금호아파트,매매,59,서울특별시 송파구 가락동,95-1,202505,1997,130350
가락금호아파트,매매,85,서울특별시 송파구 가락동,95-1,202505,1997,148333
가락미륭아파트,매매,64,서울특별시 송파구 가락동,138,202505,1986,128000
가락삼익맨숀,매매,84,서울특별시 송파구 송파동,166,202505,1984,173617
가락삼익맨숀,매매,127,서울특별시 송파구 송파동,166,202505,1984,213250
가락쌍용(2차),매매,59,서울특별시 송파구 가락동,21-6,202505,1999,119000
가락쌍용(2차),매매,84,서울특별시 송파구 가락동,21-6,202505,1999,125750
가야써니빌(373-7),매매,114,서울특별시 동대문구 장안동,373-7,202505,2002,68750
가양2단지(성지),매매,34,서울특별시 강서구 가양동,1461,202505,1992,52250
가양2단지(성지),매매,39,서울특별시 강서구 가양동,1461,202505,1992,59400
가양2단지(성지),매매,49,서울특별시 강서구 가양동,1461,202505,1992,73000
가양6단지,매매,39,서울특별시 강서구 가양동,1485,202505,1992,60250
가양6단지,매매,49,서울특별시 강서구 가양동,1485,202505,1992,79650
가양6단지,매매,58,서울특별시 강서구 가양동,1485,202505,1992,83500
가양강나루현대,매매,59,서울특별시 강서구 가양동,448-1,202505,1999,85720
가양강나루현대,매매,84,서울특별시 강서구 가양동,448-1,202505,1999,97500
가양도시개발9-2단지,매매,34,서울특별시 강서구 가양동,1490,202505,1993,51290
가양도시개발9-2단지,매매,39,서울특별시 강서구 가양동,1490,202505,1993,57750
가양도시개발9-2단지,매매,49,서울특별시 강서구 가양동,1490,202505,1993,71350
가양역두산위브,매매,50,서울특별시 강서구 등촌동,726,202505,2022,83000
가양역두산위브,매매,59,서울특별시 강서구 등촌동,726,202505,2022,94000
가양우성,매매,84,서울특별시 강서구 가양동,14-3,202505,1990,92000
가우디캐슬,매매,29,서울특별시 동대문구 용두동,104-34,202505,2019,28700
가우디트윈캐슬1,매매,41,서울특별시 동대문구 장안동,374-9,202505,2016,34800
가우디트윈캐슬2,매매,47,서울특별시 동대문구 장안동,374-8,202505,2016,39000
갈현1단지e-편한세상,매매,59,서울특별시 은평구 구산동,547,202505,2004,57000
갈현동현대,매매,59,서울특별시 은평구 갈현동,537,202505,1997,52500
갈현동현대,매매,84,서울특별시 은평구 갈현동,537,202505,1997,63000
갈현현대,매매,59,서울특별시 은평구 구산동,382,202505,1998,42600
갑을명가,매매,80,서울특별시 동작구 사당동,1151,202505,2006,78950
강나루2현대,매매,84,서울특별시 강서구 가양동,448,202505,2001,99500
강남데시앙포레,매매,59,서울특별시 강남구 수서동,795,202505,2014,169500
강남서해그랑블,매매,70,서울특별시 강남구 역삼동,796-29,202505,2012,92000
강남엘에이치1단지,매매,74,서울특별시 강남구 세곡동,579,202505,2013,141000
강남자곡 힐스테이트,매매,74,서울특별시 강남구 자곡동,619,202505,2015,119000
강남자곡아이파크,매매,59,서울특별시 강남구 자곡동,602,202505,2014,139750
강남자곡아이파크,매매,74,서울특별시 강남구 자곡동,602,202505,2014,155000
강남한양수자인(4단지),매매,101,서울특별시 강남구 자곡동,686,202505,2014,193000
강동LG자이,매매,126,서울특별시 강동구 길동,474,202505,2003,131500
강동리버스트4단지,매매,49,서울특별시 강동구 강일동,114,202505,2020,71267
강동상떼빌,매매,119,서울특별시 강동구 천호동,450,202505,2007,99500
강동역두산위브센티움,매매,59,서울특별시 강동구 천호동,155-5,202505,2004,70400
강동역신동아파밀리에,매매,94,서울특별시 강동구 천호동,447-17,202505,2015,115500
강동역신동아파밀리에,매매,101,서울특별시 강동구 천호동,447-17,202505,2015,127167
강동역에스케이허브,매매,84,서울특별시 강동구 길동,445-1,202505,2006,92000
강동큐브(2차),매매,14,서울특별시 강동구 길동,415-13,202505,2013,9700
강동헤리티지자이,매매,74,서울특별시 강동구 길동,483,202505,2024,150000
강변,매매,34,서울특별시 강서구 가양동,1475,202505,1992,52400
강변,매매,39,서울특별시 강서구 가양동,1475,202505,1992,59917
강변,매매,66,서울특별시 서초구 잠원동,53-15,202505,1987,247000
강변건영아파트,매매,84,서울특별시 성동구 성수동1가,710,202505,2002,211250
